geoid,aland,awater,income,population,kmdensity,centx,centy
420710102013,25594646,537030,27757,1635,63.88050079,-76.32378194,40.22298105
420710004002,179649,0,15409,390,2170.899902,-76.30628029,40.04747384
420710108013,4880359,16661,42764,1556,318.82901,-76.60220268,40.13398022
420710009002,83472,0,10033,1071,12830.59961,-76.29922298,40.0370283
420710137012,3204500,39897,19657,1725,538.3049927,-76.35947,40.01798444
420710126013,22684047,282368,29107,3075,135.5579987,-76.00125951,40.18224935
420370501004,1546058,47129,18926,982,635.1640015,-76.38473993,41.1954986
420370501005,81691325,896485,26585,1540,18.85140038,-76.35018133,41.13725024
420370504002,27534053,88135,30469,1465,53.20679855,-76.35636665,41.07194127
420370504003,8354759,29718,26356,838,100.302002,-76.34467258,41.04878879
420430236011,10371591,155577,41476,1657,159.7630005,-76.74900614,40.24186
420370507001,768730,0,15282,1419,1845.900024,-76.25062457,41.05583953
420370507002,836536,0,25803,545,651.4959717,-76.26221004,41.05600387
420130110013,67520688,144967,27479,1105,16.36540031,-78.52581618,40.3974648
420710119021,5784759,210096,58001,1912,330.5239868,-76.25429912,40.09819894
420370509002,17781552,69176,33987,2278,128.1100006,-76.38427801,41.02718718
420750036001,1001159,16289,25444,933,931.9199829,-76.44686731,40.34331998
421059503003,10036600,0,27682,1598,159.2169952,-78.02134739,41.77379643
420750036002,1045291,0,19708,2593,2480.649902,-76.44577776,40.33391873
420130113005,90368108,29875,21723,1332,14.73970032,-78.26852038,40.36499648
421330214103,2916579,0,32673,2311,792.3670044,-76.79399514,39.98744388
421330218011,5587801,2872,29802,3390,606.6790161,-76.9806174,39.773401
421330224011,39181068,295696,33747,2587,66.02680206,-76.85622059,39.74681552
420550119003,19827345,18206,30632,2702,136.276001,-77.70423951,39.74258621
420550119004,21117892,0,27917,1138,53.88800049,-77.67878497,39.76175519
420550117004,16855911,0,20857,1561,92.60849762,-77.74275362,39.74520204
420550117003,18888971,150512,34563,2245,118.8519974,-77.78257874,39.7479423
420550104004,11024682,31979,49125,2017,182.9530029,-77.60497592,39.9595085
420550105004,16694569,0,24699,2207,132.1990051,-77.50152641,39.897961
420430213002,393206,0,12838,1153,2932.310059,-76.8630777,40.25805001
421330210202,6817343,118463,32703,962,141.1109924,-76.73800839,40.06334211
421330102101,4067074,0,26351,1711,420.6960144,-76.68580582,39.98004357
421330217203,9829613,0,34059,1477,150.2599945,-76.77295673,39.90461958
420130101014,88309064,0,19575,1556,17.61989975,-78.23296572,40.62085152
420430250001,27622401,0,23700,1398,50.61109924,-76.69939686,40.5772942
420990302023,9772608,199103,22838,1037,106.112999,-77.13502692,40.46699961
420430219043,1346965,0,50910,663,492.2179871,-76.8770824,40.32277783
420430238002,465832,6946,26567,1445,3101.97998,-76.73165501,40.19596548
420430230001,951259,0,28777,1189,1249.920044,-76.82062091,40.2632483
420430207002,309448,0,12219,1536,4963.680176,-76.89216565,40.28278524
420430206001,381236,0,19435,1162,3047.97998,-76.88920299,40.2768222
420430205003,355379,2214933,33777,1457,4099.850098,-76.90212068,40.26997319
420750039011,1212669,0,22240,1356,1118.189941,-76.59346657,40.31059288
420750041001,8926307,80,39297,1056,118.302002,-76.45305838,40.24673865
420750039022,1113799,0,30110,2239,2010.23999,-76.58453429,40.30873283
420430224033,978328,0,25280,1817,1857.25,-76.81838413,40.30283508
420710142022,18446081,131209,25557,2151,116.6100006,-75.98152391,40.01004958
420710102011,22886185,1728226,29445,901,39.36869812,-76.24396705,40.26123044
420710126022,10222028,59095,37955,1295,126.6869965,-75.97233493,40.11636381
420710127001,20053334,115519,18006,2504,124.8669968,-76.008839,40.1226217
420710005001,162515,0,19799,1090,6707.069824,-76.31649161,40.04685627
420710004003,161958,0,35424,1081,6674.569824,-76.30535252,40.04458654
420710140001,8260035,87666,25201,1361,164.7689972,-76.17449576,39.99384475
420710121022,7651320,103769,33136,3096,404.6359863,-76.28130215,40.13717937
420710111002,15605613,43008,34134,1336,85.61019897,-76.55928688,40.10108042
420430227021,1963735,0,27343,2348,1195.680054,-76.75873274,40.26963889
420430225013,6369674,0,48270,2671,419.3309937,-76.82932103,40.35054432
420430225012,3026702,0,43621,1586,524.0029907,-76.84017907,40.34154607
420430223002,524178,0,32056,778,1484.22998,-76.80926887,40.28883174
420430223005,702638,0,22719,1791,2548.969971,-76.81556619,40.28684273
420430226052,2472635,0,36339,2880,1164.75,-76.77987725,40.28240937
420410120001,1300822,0,30142,1382,1062.410034,-77.21109164,40.2095098
420410121002,204997,0,22862,1012,4936.660156,-77.18517126,40.20525927
